Artist,Total Views,100M,Avg
BTS,"27,947.9",63,7.370
Bad Bunny,"27,573.4",66,14.555
Justin Bieber,"27,399.7",37,3.986
Ed Sheeran,"26,894.0",39,4.609
Taylor Swift,"24,350.0",38,5.716
Shakira,"23,961.8",43,7.843
Katy Perry,"23,553.4",25,3.181
Ozuna,"22,524.8",49,4.933
Eminem,"20,937.7",38,5.841
Ariana Grande,"20,618.5",37,3.370
Daddy Yankee,"20,485.2",41,4.543
J Balvin,"20,436.9",34,3.188
Blackpink,"20,082.0",32,8.630
Maroon 5,"19,430.1",30,3.264
Rihanna,"18,683.8",33,3.907
Maluma,"18,479.8",30,3.112
The Weeknd,"17,668.9",30,8.517
Bruno Mars,"16,897.5",20,4.190
Marília Mendonça,"16,515.8",53,6.397
Enrique Iglesias,"16,395.2",29,2.655
David Guetta,"15,484.6",29,3.744
Nicky Jam,"14,982.5",29,1.668
Coldplay,"14,849.0",21,4.052
Beyoncé,"14,681.4",37,2.947
Calvin Harris,"14,270.5",22,2.090
Luis Fonsi,"14,242.4",12,1.574
Romeo Santos,"14,113.2",26,4.772
Marshmello,"14,020.7",29,2.723
Karol G,"13,981.8",26,6.590
Imagine Dragons,"13,444.2",18,4.884
Henrique e Juliano,"13,210.1",37,4.970
Chris Brown,"13,165.0",37,3.842
Lady Gaga,"13,156.0",28,4.272
Gusttavo Lima,"12,899.1",35,4.186
The Chainsmokers,"12,561.5",19,1.602
Guru Randhawa,"12,413.4",33,21.626
Alan Walker,"12,329.8",18,2.467
Adele,"12,329.6",17,2.600
Wiz Khalifa,"12,175.3",13,1.896
Anuel AA,"12,111.8",23,7.475
Pitbull,"11,989.9",21,2.083
One Direction,"11,904.4",18,1.776
Banda MS,"11,847.7",26,2.664
TWICE,"11,667.0",24,3.681
Michael Jackson,"11,662.2",23,3.422
Sia,"11,545.7",17,2.525
Post Malone,"11,345.7",18,3.207
Neha Kakkar,"11,283.5",20,2.445
Gummibär,"11,225.7",13,2.722
Selena Gomez,"11,062.8",29,3.544
Linkin Park,"11,044.5",25,2.681
Shawn Mendes,"10,923.6",16,2.006
Arijit Singh,"10,850.3",23,3.162
YoungBoy Never Broke Again,"10,593.7",26,4.873
Drake,"10,361.2",18,3.218
Billie Eilish,"10,290.2",22,3.039
twenty one pilots,"10,147.7",14,2.028
Zé Neto e Cristiano,"10,133.5",26,1.723
Los Ángeles Azules,"10,070.7",26,4.093
PSY,"9,970.6",10,2.215
Yo Yo Honey Singh,"9,522.4",32,3.364
Jennifer Lopez,"9,282.3",24,1.627
Becky G,"9,280.8",11,1.743
Dua Lipa,"9,258.1",16,2.838
The Black Eyed Peas,"9,223.4",19,2.495
Avicii,"9,135.6",17,1.549
Queen,"9,081.0",16,1.880
Sebastián Yatra,"9,012.3",19,2.762
Nicki Minaj,"9,000.9",26,2.023
Rauw Alejandro,"8,927.2",20,5.189
Major Lazer,"8,826.7",12,1.188
XXXTENTACION,"8,823.3",18,1.615
DJ Snake,"8,530.6",13,1.891
Charlie Puth,"8,393.3",10,1.949
Jorge & Mateus,"8,380.3",22,2.691
Sam Smith,"8,294.6",13,2.194
Future,"8,146.9",13,2.297
Farruko,"8,116.8",20,2.192
Jason Derulo,"8,105.5",22,1.046
BIGBANG,"8,046.3",21,1.040
50 Cent,"8,010.8",15,2.607
Skrillex,"7,946.0",16,0.889
Martin Garrix,"7,827.2",14,1.202
Badshah,"7,822.3",16,2.775
Miley Cyrus,"7,750.1",19,1.603
Wesley Safadão,"7,529.7",15,3.060
MattyB,"7,424.6",21,1.340
Reik,"7,315.1",20,2.485
Fifth Harmony,"7,313.4",8,1.008
Anitta,"7,278.0",22,1.717
Natti Natasha,"7,199.6",13,1.780
6ix9ine,"7,164.4",14,0.962
HA-ASH,"7,159.5",16,1.824
Meghan Trainor,"7,135.3",7,1.992
CantaJuego,"7,133.6",12,2.268
Paulo Londra,"7,086.4",15,2.373
Britney Spears,"7,029.7",25,1.468
Guns N' Roses,"7,020.6",8,1.785
Arcangel,"7,017.4",14,4.778
Crazy Frog,"6,960.4",12,3.981
Clean Bandit,"6,930.8",8,0.970
P!nk,"6,849.0",18,1.524
Chino & Nacho,"6,823.4",13,0.958
Little Mix,"6,732.3",17,0.997
Migos,"6,721.1",11,1.387
Matheus & Kauan,"6,714.9",16,1.970
Don Omar,"6,702.8",15,2.373
Christian Nodal,"6,622.5",17,3.274
CNCO,"6,618.3",14,0.657
Cardi B,"6,573.8",12,0.961
Mariah Carey,"6,559.4",16,1.818
AC/DC,"6,536.9",13,1.747
OneRepublic,"6,517.6",10,1.659
Demi Lovato,"6,432.4",13,0.615
Kevin Gates,"6,404.7",11,1.551
Ricky Martin,"6,390.7",10,0.900
Piso 21,"6,375.3",10,1.838
Maître Gims,"6,325.5",17,1.397
Juice WRLD,"6,317.2",13,2.535
Idina Menzel,"6,308.3",7,2.603
Boyce Avenue,"6,300.3",10,0.958
Prince Royce,"6,246.8",14,1.778
Ellie Goulding,"6,235.1",10,0.673
EXO,"6,215.5",16,0.964
DJ Khaled,"6,195.1",11,1.044
Justin Timberlake,"6,105.6",12,1.135
Thalia,"6,024.0",12,1.074
Travis Scott,"6,007.9",14,1.371
Sidhu Moose Wala,"5,992.2",18,5.752
Lil Baby,"5,916.0",18,3.232
Jass Manak,"5,887.3",15,1.511
Inna,"5,866.9",15,1.417
Cartel de Santa,"5,816.6",18,2.076
Patati Patatá,"5,791.6",13,2.335
Maiara & Maraisa,"5,785.9",12,1.957
Red Hot Chili Peppers,"5,764.1",12,1.587
Calibre 50,"5,736.5",15,2.263
Haschak Sisters,"5,670.8",16,0.503
Bon Jovi,"5,623.1",9,1.463
Myke Towers,"5,616.2",11,2.450
Mark Ronson,"5,591.5",3,1.216
Pentatonix,"5,583.6",13,0.552
Wisin,"5,578.5",12,0.955
Camila Cabello,"5,571.8",12,0.857
Nio García,"5,471.4",8,0.915
Avril Lavigne,"5,456.0",16,1.039
Metallica,"5,430.2",7,1.588
Juan Gabriel,"5,426.8",11,1.509
Lana Del Rey,"5,409.7",12,1.716
Hariharan,"5,345.6",8,4.076
Yasmin Verissimo,"5,341.8",15,2.464
Manuel Turizo,"5,332.8",10,2.929
Ricardo Arjona,"5,268.8",8,1.774
Kodak Black,"5,246.1",13,1.726
Lil Nas X,"5,200.8",10,1.315
MC Kevinho,"5,188.9",12,0.249
Marc Anthony,"5,173.6",13,1.497
Luan Santana,"5,164.4",14,1.812
Wisin & Yandel,"5,158.6",14,1.874
Sean Paul,"5,116.4",11,1.478
G-Eazy,"5,114.2",8,0.918
Akon,"5,107.6",9,1.823
Camilo,"5,094.4",14,1.379
Jessie J,"5,083.8",9,0.657
Madonna,"5,062.4",11,1.758
Lil Wayne,"5,050.1",8,1.139
Mohamed Ramadan,"5,007.8",8,0.840
Carlos Vives,"4,959.3",6,1.117
Tyga,"4,941.1",7,1.004
Whitney Houston,"4,918.7",10,1.894
Kygo,"4,910.1",11,1.003
Hillsong Worship,"4,831.7",10,2.158
Macklemore & Ryan Lewis,"4,823.8",8,0.624
Girls' Generation,"4,708.2",10,0.723
Aventura,"4,707.8",16,2.137
Jul,"4,703.4",4,1.751
Khalid,"4,662.6",10,0.885
LMFAO,"4,657.4",5,0.545
Jesse & Joy,"4,655.9",10,1.044
Plan B,"4,624.1",13,1.252
Maná,"4,607.0",14,1.432
Flo Rida,"4,604.6",10,0.826
Machine Gun Kelly,"4,552.1",10,1.214
Grupo Firme,"4,523.1",14,3.737
ZAYN,"4,503.5",5,0.863
Simone & Simaria,"4,482.7",9,0.859
Sech,"4,477.6",11,1.103
Doja Cat,"4,476.9",15,2.264
Rahat Fateh Ali Khan,"4,475.0",10,1.743
Adexe & Nau,"4,462.8",8,0.425
Usher,"4,458.7",13,1.214
Nirvana,"4,453.9",7,1.375
Lil Pump,"4,440.7",11,0.306
Jubin Nautiyal,"4,428.7",6,1.269
Saad Lamjarred,"4,331.2",10,0.966
Kanye West,"4,329.4",15,0.996
Pablo Alborán,"4,326.3",11,1.037
Silvestre Dangond,"4,290.6",7,0.949
Rosalía,"4,287.7",6,2.247
Kenshi Yonezu,"4,252.9",12,1.490
Stray Kids,"4,250.8",8,3.801
El Chombo,"4,197.4",1,1.391
Rammstein,"4,193.3",12,1.706
Illslick,"4,188.8",9,1.273
Backstreet Boys,"4,175.1",9,1.484
Meet Bros,"4,173.8",12,1.075
Elissa,"4,124.0",6,1.859
Kevin Roldan,"4,076.2",11,1.026
Pop Smoke,"4,065.6",8,1.665
Gorillaz,"4,064.4",10,1.143
Harry Styles,"4,049.7",9,2.265
Passenger,"4,033.4",1,0.622
Morat,"4,011.3",8,2.382
Dhanush,"4,002.0",5,1.679
Hussain Al Jassmi,"3,984.0",7,1.301
Zion & Lennox,"3,964.3",7,1.168
Rae Sremmurd,"3,933.3",9,0.364
Hungria Hip Hop,"3,866.4",13,1.544
Halsey,"3,864.1",8,0.908
NCT,"3,809.6",9,1.172
Monkan Kankoon,"3,792.6",10,1.792
Atif Aslam,"3,782.2",9,1.010
Panic! at the Disco,"3,777.9",6,0.484
Céline Dion,"3,749.3",10,1.564
21 Savage,"3,741.6",8,1.098
El Alfa,"3,740.9",7,1.620
Kendrick Lamar,"3,728.1",12,0.854
Iggy Azalea,"3,726.6",9,0.340
Alejandro Fernández,"3,719.5",6,1.118
TINI,"3,715.3",13,2.175
J.Fla,"3,701.8",6,0.350
La Adictiva Banda San José de Mesillas,"3,687.4",7,1.281
System of a Down,"3,680.4",8,1.070
Bryan Adams,"3,668.6",10,1.291
Slipknot,"3,656.3",10,1.056
Kurt Hugo Schneider,"3,635.2",4,0.222
Lil Uzi Vert,"3,634.5",8,1.267
Nour Al Zain,"3,625.1",8,0.594
Melendi,"3,609.1",4,1.148
Mon Laferte,"3,606.4",8,1.403
DaBaby,"3,592.0",7,0.759
Nickelback,"3,578.9",11,0.761
Carlos Rivera,"3,571.3",11,1.224
Nelly,"3,570.3",7,1.164
Chayanne,"3,555.5",11,0.882
Yandel,"3,544.3",7,1.447
Christina Aguilera,"3,523.3",10,0.767
Dalex,"3,521.8",8,1.137
Lil Durk,"3,520.8",3,1.983
Lindsey Stirling,"3,509.3",8,0.569
Cali y El Dandee,"3,504.6",7,0.716
Ariel Camacho y Los Plebes Del Rancho,"3,502.8",8,0.585
Jonas Blue,"3,495.9",7,0.630
Yuridia,"3,482.0",7,4.551
Santa Fe Klan,"3,459.6",6,2.638
Arctic Monkeys,"3,433.4",6,1.030
Bruno e Marrone,"3,431.9",5,1.091
Violetta,"3,428.5",4,0.263
Young Thug,"3,425.0",8,0.934
John Legend,"3,419.4",4,0.517
Bebe Rexha,"3,400.2",5,0.546
Banda Los Recoditos,"3,399.6",11,0.590
Tiësto,"3,393.0",8,1.323
Melanie Martinez,"3,386.7",11,0.723
Christina Perri,"3,366.4",3,0.553
MC Livinho,"3,359.5",10,0.263
Ludmilla,"3,322.0",8,2.135
Meek Mill,"3,301.2",6,0.794
Little Big,"3,288.3",8,1.179
Marco Antonio Solís,"3,277.0",12,1.148
Pulcino Pio,"3,270.1",6,0.467
C-Kan,"3,269.3",7,0.713
Danny Ocean,"3,264.3",5,0.915
Seventeen,"3,260.1",3,2.311
Jhay Cortez,"3,259.3",3,1.123
Pharrell Williams,"3,258.5",6,0.583
Evanescence,"3,257.0",6,0.836
GOT7,"3,241.3",8,0.290
Green Day,"3,219.4",7,0.776
Cosculluela,"3,189.6",5,0.946
Alejandro Sanz,"3,183.5",5,0.684
Emiway Bantai,"3,168.8",7,0.968
Pedro Capó,"3,161.3",2,0.609
Zedd,"3,160.8",10,0.464
Stromae,"3,151.2",6,0.999
Lil Peep,"3,142.8",8,0.916
LP,"3,122.7",6,1.184
Vishal Dadlani,"3,122.2",9,0.720
Alicia Keys,"3,101.6",6,0.739
Luis Miguel,"3,089.7",8,1.244
Gucci Mane,"3,047.3",3,0.692
Abba,"3,045.9",7,1.318
Khea,"3,010.0",10,0.572
Gerardo Ortiz,"2,993.7",9,0.564
Ciara,"2,980.9",10,0.604
James Arthur,"2,980.5",4,0.859
Naiara Azevedo,"2,973.6",8,0.373
Gustavo Mioto,"2,969.6",7,1.303
Tribo da Periferia,"2,968.8",6,1.096
Armin van Buuren,"2,967.4",4,0.677
Río Roma,"2,956.2",8,0.774
Harrdy Sandhu,"2,945.2",7,0.666
Brytiago,"2,945.0",7,0.658
Alex Rose,"2,917.0",6,1.058
Red Velvet,"2,916.9",12,0.585
Jay Chou,"2,915.2",4,0.773
Paramore,"2,911.0",10,0.592
Camila,"2,903.8",9,0.539
French Montana,"2,902.3",3,0.620
Soolking,"2,899.9",7,1.197
The Beatles,"2,893.8",9,0.956
Aviões do Forró,"2,882.5",6,0.767
Bryant Myers,"2,878.9",10,1.248
Bee Gees,"2,854.4",6,1.327
Ne-Yo,"2,842.2",10,0.729
La Oreja de Van Gogh,"2,833.9",5,1.126
Calle 13,"2,830.0",9,0.530
Mac Miller,"2,813.7",5,0.679
Gente De Zona,"2,800.3",4,0.489
Dr. Dre,"2,799.2",5,0.938
Udit Narayan,"2,798.2",8,0.746
La Arrolladora Banda El Limón De René Camacho,"2,784.5",7,0.808
Five Finger Death Punch,"2,784.1",9,0.821
Greeicy,"2,775.4",8,0.843
Kratai Phannipha,"2,770.2",6,0.373
Aerosmith,"2,761.6",5,0.872
Zoé,"2,756.3",6,0.806
MAGIC!,"2,746.5",2,0.416
Soprano,"2,736.2",10,0.430
Zara Larsson,"2,729.6",4,0.300
Modern Talking,"2,723.0",7,1.102
La Trakalosa de Monterrey,"2,721.1",7,0.424
Aya Nakamura,"2,715.2",5,0.805
Gabriela Rocha,"2,703.2",4,0.958
Childish Gambino,"2,699.8",6,0.693
Labanoon,"2,698.7",6,0.284
L'Algérino,"2,694.4",8,0.287
Dilsinho,"2,687.0",4,0.675
Feid,"2,669.1",8,6.684
The Cranberries,"2,667.0",5,0.860
Son Tung M-TP,"2,660.6",11,0.614
Dimitri Vegas & Like Mike,"2,637.1",3,0.286
T.I.,"2,632.1",6,0.433
Ankush Raja,"2,625.1",6,1.233
Fetty Wap,"2,615.4",7,0.327
The Lonely Island,"2,603.5",9,0.166
A$AP Rocky,"2,599.5",4,0.699
Daft Punk,"2,587.0",5,0.734
MCs Zaac & Jerry,"2,585.8",8,0.227
Amr Diab,"2,584.4",3,0.412
will.i.am,"2,582.0",6,0.295
Jesús Adrián Romero,"2,577.0",7,0.873
Fall Out Boy,"2,572.4",6,0.415
Zé Felipe,"2,553.0",8,2.395
Robin Schulz,"2,552.6",6,0.580
Oasis,"2,538.5",7,0.597
Franco De Vita,"2,537.4",8,0.644
5 Seconds of Summer,"2,537.0",5,0.378
YNW Melly,"2,534.2",5,0.608
Swedish House Mafia,"2,525.6",5,0.458
Luke Combs,"2,522.2",6,1.080
Westlife,"2,515.0",6,0.838
Anne-Marie,"2,514.7",6,0.928
Ferrugem,"2,511.5",6,0.793
Jon Z,"2,505.3",5,0.966
Gloria Trevi,"2,501.3",5,0.635
Mustafa Ceceli,"2,495.0",7,0.696
Mamamoo,"2,494.4",4,0.615
Turma do Pagode,"2,482.8",6,0.649
Ava Max,"2,479.7",5,1.306
David Bisbal,"2,450.6",6,0.470
R. Kelly,"2,449.0",6,0.109
Felipe Araújo,"2,433.9",6,0.584
Jay Wheeler,"2,433.5",4,1.331
Tarkan,"2,430.8",4,0.678
The Pussycat Dolls,"2,429.5",8,0.700
Dhvani Bhanushali,"2,403.5",2,0.568
Polo G,"2,402.3",5,0.866
Foo Fighters,"2,397.0",6,0.531
Calum Scott,"2,396.7",4,0.695
Lukas Graham,"2,395.4",4,0.444
Trey Songz,"2,390.5",4,0.331
Miyagi,"2,384.7",4,1.486
Mau y Ricky,"2,375.8",3,0.797
Kelly Clarkson,"2,374.7",4,0.452
Selena,"2,362.7",7,0.971
Koray Avcı,"2,353.9",7,0.250
Gera MX,"2,349.8",3,1.064
Carla Morrison,"2,333.7",5,0.901
George Michael,"2,330.8",5,1.041
Sean Kingston,"2,327.0",4,0.724
Muse,"2,326.4",6,0.462
Luke Bryan,"2,321.2",7,0.352
Leningrad,"2,309.3",6,0.328
Super Junior,"2,295.4",7,0.369
De La Ghetto,"2,271.5",3,0.473
YG,"2,265.6",6,0.357
Roddy Ricch,"2,262.9",6,0.659
Avenged Sevenfold,"2,262.8",7,0.556
Carly Rae Jepsen,"2,255.9",2,0.310
Elton John,"2,250.2",6,1.395
iKON,"2,247.1",3,0.324
Alka Yagnik,"2,241.6",6,0.701
J. Cole,"2,241.4",6,0.775
Snoop Dogg,"2,233.7",7,0.536
Rita Ora,"2,229.9",4,0.287
Disturbed,"2,216.7",3,0.639
Desiigner,"2,215.5",4,0.274
Tones and I,"2,212.6",1,0.478
Gotye,"2,205.0",1,0.596
Zé Vaqueiro,"2,203.1",7,0.993
a-ha,"2,202.9",1,0.746
Diego & Victor Hugo,"2,200.2",7,0.640
A Boogie wit da Hoodie,"2,191.1",3,0.666
Logic,"2,184.2",3,0.193
Juanes,"2,177.1",8,0.565
Projota,"2,175.8",5,0.269
Kendji Girac,"2,175.6",8,0.470
2NE1,"2,166.1",2,0.235
Piccolo Coro dell'Antoniano,"2,154.6",3,0.685
Lunay,"2,144.2",6,0.448
Lil Dicky,"2,138.0",4,0.263
Rod Stewart,"2,136.7",4,1.107
Rag'n'Bone Man,"2,131.8",2,0.683
U2,"2,130.8",5,0.708
Megan Thee Stallion,"2,129.4",8,0.605
Hassan Shakosh,"2,121.7",5,0.350
Tove Lo,"2,116.0",3,0.470
K-ICM,"2,115.8",5,0.152
MC Pedrinho,"2,114.4",7,0.210
Sorriso Maroto,"2,095.7",4,0.645
The Script,"2,091.4",5,0.356
Danna Paola,"2,090.3",4,0.581
Mike Posner,"2,080.0",2,0.331
Ke$ha,"2,078.3",6,0.239
Silentó,"2,059.3",1,0.128
MC Fioti,"2,058.8",1,0.218
Himesh Reshammiya,"2,052.2",3,1.310
Amy Winehouse,"2,049.1",4,0.684
MC Kekel,"2,048.2",6,0.101
ITZY,"2,035.1",7,1.013
Tory Lanez,"2,033.1",2,0.549
Shreya Ghoshal,"2,032.5",5,0.670
Michel Teló,"2,028.0",2,0.264
Kane Brown,"2,027.9",3,0.570
Capital Bra,"2,015.6",2,0.287
Tierry,"2,015.5",3,0.847
Zack Knight,"2,014.3",3,0.537
Andrea Bocelli,"2,013.5",4,0.688
Nelly Furtado,"2,011.5",4,0.658
Pabllo Vittar,"1,999.1",5,0.253
Andra,"1,998.5",4,0.198
MC Davo,"1,996.0",5,0.573
Olivia Rodrigo,"1,995.7",5,0.973
Joey Montana,"1,989.9",2,0.166
Lorde,"1,989.8",4,0.205
Eduardo Costa,"1,985.2",4,0.541
AKB48,"1,984.4",2,0.202
Skillet,"1,983.4",4,0.546
Indila,"1,982.0",4,0.877
Darshan Raval,"1,973.4",4,0.537
Lucas Lucco,"1,972.6",7,0.392
YOUNGOHM,"1,969.0",7,0.773
The Killers,"1,962.1",6,0.390
blink-182,"1,962.0",5,0.450
Big Sean,"1,959.9",5,0.159
Lartiste,"1,954.5",3,0.262
Cocktail,"1,947.4",7,0.378
JoJo Siwa,"1,941.6",4,0.212
Jason Mraz,"1,934.7",5,0.340
Jessi Uribe,"1,932.0",5,0.996
Kid Ink,"1,930.9",3,0.206
Cyndi Lauper,"1,930.7",3,0.536
Timati,"1,928.6",2,0.542
Hala Al Turk,"1,923.4",6,0.242
Laura Pausini,"1,922.2",2,0.408
Shania Twain,"1,919.2",6,0.689
Luciano Pereyra,"1,912.0",3,0.572
Michael Bublé,"1,909.6",5,0.325
Timbaland,"1,904.9",6,0.701
Fergie,"1,899.0",6,0.395
