Artist,Total Views,Total Subscribers,Avg
Luciano Pereyra,"1,912.0",300000000.0,0.57
Michael Bublé,"1,909.6",500000000.0,0.32
Timbaland,"1,904.9",600000000.0,0.7
Fergie,"1,899.0",600000000.0,0.4
Juan Magan,"1,898.2",500000000.0,0.24
Mohamed Alsalim,"1,897.8",300000000.0,0.54
Banda El Recodo De Cruz Lizárraga,"1,895.6",500000000.0,0.38
Natalia Lafourcade,"1,893.9",500000000.0,0.79
Depeche Mode,"1,890.8",400000000.0,0.63
Balti,"1,890.4",300000000.0,0.65
Imran Khan,"1,888.6",400000000.0,0.89
Alvaro Soler,"1,886.6",400000000.0,0.31
Lewis Capaldi,"1,880.3",400000000.0,1.0
Sabyan,"1,878.8",600000000.0,0.15
Alemán,"1,875.1",300000000.0,1.05
Sin Bandera,"1,866.7",600000000.0,0.5
B Praak,"1,863.1",300000000.0,0.23
Remmy Valenzuela,"1,862.4",600000000.0,0.44
Ceca,"1,861.6",,0.35
MC Kevin,"1,853.6",400000000.0,0.62
OMI,"1,853.5",300000000.0,0.28
Florida Georgia Line,"1,852.1",500000000.0,0.21
Canserbero,"1,851.4",400000000.0,1.0
Hozier,"1,840.0",200000000.0,0.55
Lil Tjay,"1,835.7",300000000.0,0.72
Ricardo Montaner,"1,829.6",300000000.0,0.46
Radiohead,"1,828.1",200000000.0,0.79
Cristiano Araújo,"1,826.9",600000000.0,0.21
Galantis,"1,825.8",400000000.0,0.17
Niska,"1,825.0",400000000.0,0.43
Paula Fernandes,"1,822.8",300000000.0,0.44
Jason Aldean,"1,819.9",300000000.0,0.47
Palak Muchhal,"1,811.4",300000000.0,0.47
Chris Jeday,"1,803.9",300000000.0,0.69
Roxette,"1,801.6",300000000.0,0.52
Black M,"1,798.1",600000000.0,0.15
(G)I-DLE,"1,797.7",700000000.0,1.66
IU,"1,792.6",600000000.0,0.39
Arash,"1,790.6",400000000.0,0.57
Via Vallen,"1,787.5",300000000.0,0.08
Hailee Steinfeld,"1,782.2",600000000.0,0.26
Three Days Grace,"1,780.4",400000000.0,0.42
Soulja Boy Tell'em,"1,780.1",200000000.0,0.2
PNL,"1,775.6",600000000.0,0.34
Alok,"1,773.2",200000000.0,0.64
Maria Becerra,"1,766.2",600000000.0,2.35
The Game,"1,764.7",500000000.0,0.38
Abraham Mateo,"1,760.9",300000000.0,0.41
Bryson Tiller,"1,760.7",400000000.0,0.46
Blake Shelton,"1,760.6",300000000.0,0.33
AronChupa,"1,758.0",300000000.0,0.23
Eros Ramazzotti,"1,757.6",400000000.0,0.63
James Blunt,"1,757.1",200000000.0,0.43
Naughty Boy,"1,751.2",200000000.0,0.21
Marcos & Belutti,"1,745.3",400000000.0,0.26
SHINee,"1,735.6",200000000.0,0.27
R.E.M.,"1,734.9",200000000.0,0.57
2 Chainz,"1,728.7",500000000.0,0.28
Vremya i Steklo,"1,721.8",500000000.0,0.14
Lata Mangeshkar,"1,720.7",600000000.0,0.45
İrem Derici,"1,717.3",300000000.0,0.32
Scorpions,"1,715.3",200000000.0,0.44
Raymix,"1,712.5",300000000.0,0.38
ONE OK ROCK,"1,711.7",300000000.0,0.38
Zouhair Bahaoui,"1,705.7",300000000.0,0.49
Raí Saia Rodada,"1,702.9",400000000.0,0.48
Rick Astley,"1,697.5",200000000.0,0.5
My Chemical Romance,"1,689.8",700000000.0,0.51
Rick Ross,"1,687.2",300000000.0,0.34
B.o.B,"1,687.1",200000000.0,0.3
Korn,"1,686.0",300000000.0,0.49
Lil Skies,"1,683.5",400000000.0,0.18
El Komander,"1,679.2",300000000.0,0.26
Naps,"1,671.7",500000000.0,0.47
Nella Kharisma,"1,671.3",500000000.0,0.14
Shaggy,"1,663.3",600000000.0,0.42
Noriel,"1,661.3",300000000.0,0.4
Bruce Springsteen,"1,653.9",300000000.0,0.63
"Earth, Wind & Fire","1,649.2",300000000.0,0.56
Foster The People,"1,645.9",300000000.0,0.37
3 Doors Down,"1,641.7",300000000.0,0.4
Boney M.,"1,637.7",300000000.0,1.04
Getsunova,"1,633.9",500000000.0,0.18
Mary J. Blige,"1,630.1",400000000.0,0.66
Joyner Lucas,"1,620.7",100000000.0,0.36
2CELLOS,"1,619.4",100000000.0,0.33
Destiny's Child,"1,617.9",700000000.0,0.43
Last Child,"1,615.9",400000000.0,0.71
Lauv,"1,610.5",400000000.0,0.37
Robbie Williams,"1,605.3",400000000.0,0.28
Jonas Brothers,"1,597.6",300000000.0,0.2
Lauana Prado,"1,595.8",300000000.0,0.61
Toni Braxton,"1,595.0",300000000.0,0.58
Sofia Reyes,"1,590.3",300000000.0,0.51
Wham!,"1,580.5",200000000.0,0.31
Jeremih,"1,580.0",600000000.0,0.29
J Alvarez,"1,579.4",200000000.0,0.39
Ella Mai,"1,579.3",400000000.0,0.44
Burna Boy,"1,578.5",300000000.0,1.59
Marilyn Manson,"1,576.3",300000000.0,0.36
Audioslave,"1,576.1",300000000.0,0.49
Afrojack,"1,572.9",300000000.0,0.1
Lê Bảo Bình,"1,572.0",400000000.0,0.38
Manuel Medrano,"1,566.9",300000000.0,0.4
The Notorious B.I.G.,"1,560.1",400000000.0,0.79
Israel Kamakawiwo'ole,"1,558.2",200000000.0,0.3
T-Pain,"1,552.8",500000000.0,0.43
The Police,"1,549.7",300000000.0,0.57
JD Pantoja,"1,548.7",400000000.0,0.32
MC WM,"1,542.2",500000000.0,0.09
Fun.,"1,542.2",300000000.0,0.28
Demet Akalın,"1,541.5",200000000.0,0.17
Wolfine,"1,534.0",200000000.0,0.27
Israel & Rodolffo,"1,527.8",100000000.0,1.65
Andy Rivera,"1,527.0",300000000.0,0.58
MHD,"1,525.0",500000000.0,0.24
Mỹ Tâm,"1,521.7",200000000.0,0.27
Die Antwoord,"1,519.3",500000000.0,0.21
Reynmen,"1,516.0",300000000.0,0.25
Elvis Presley,"1,513.6",100000000.0,0.78
Kehlani,"1,512.9",200000000.0,0.32
Santana,"1,490.9",300000000.0,0.57
Ty Dolla $ign,"1,487.9",100000000.0,0.23
No Doubt,"1,486.7",200000000.0,0.39
Renuka Panwar,"1,483.5",100000000.0,0.31
4 Non Blondes,"1,479.9",100000000.0,0.56
Alexandra Stan,"1,476.0",500000000.0,0.24
Kany García,"1,474.9",400000000.0,0.92
Kid Rock,"1,467.8",200000000.0,0.46
Carrie Underwood,"1,460.8",100000000.0,0.23
Toto,"1,456.7",300000000.0,0.65
Mannat Noor,"1,452.8",100000000.0,0.22
Rombai,"1,443.9",400000000.0,0.2
Tom Odell,"1,443.3",200000000.0,1.09
Fernandinho,"1,437.4",200000000.0,0.82
4Minute,"1,428.6",400000000.0,0.13
Abel Pintos,"1,428.1",100000000.0,0.35
SISTAR,"1,425.7",400000000.0,0.16
Buray,"1,423.8",700000000.0,0.35
Thiaguinho,"1,423.4",200000000.0,0.62
R3HAB,"1,422.5",200000000.0,0.22
Grupo Revelação,"1,420.6",200000000.0,0.54
Mano Walter,"1,420.1",300000000.0,0.14
Europe,"1,417.6",200000000.0,0.37
Yo Gotti,"1,414.7",400000000.0,0.24
Bé Bảo An,"1,411.3",400000000.0,0.38
Tainy,"1,410.0",300000000.0,0.4
Alessia Cara,"1,409.4",400000000.0,0.21
Troye Sivan,"1,409.0",200000000.0,0.2
Jenni Rivera,"1,408.3",200000000.0,0.02
Willy William,"1,406.9",200000000.0,0.32
Kids United,"1,406.8",300000000.0,0.31
Carla's Dreams,"1,400.8",,0.36
Dwayne Johnson,"1,400.6",100000000.0,1.17
L.กฮ.,"1,397.4",500000000.0,0.45
C. Tangana,"1,396.9",300000000.0,0.36
Sunidhi Chauhan,"1,394.4",300000000.0,0.22
Ñengo Flow,"1,388.8",400000000.0,0.82
Radwimps,"1,386.7",300000000.0,0.48
Damas Gratis,"1,384.5",400000000.0,0.76
G.E.M.,"1,381.6",400000000.0,0.23
Milky Chance,"1,380.1",300000000.0,0.41
The Kid LAROI,"1,379.9",200000000.0,0.78
Banda Carnaval,"1,379.8",100000000.0,0.25
Hande Yener,"1,378.6",300000000.0,0.18
Aqua,"1,377.2",100000000.0,0.54
Kong Huayrai,"1,375.9",400000000.0,0.43
Sherine,"1,375.5",500000000.0,0.58
Hadise,"1,374.1",500000000.0,0.23
Owl City,"1,373.3",200000000.0,0.22
MC G15,"1,372.3",500000000.0,0.08
Kings Of Leon,"1,367.3",200000000.0,0.3
J-Ax,"1,365.4",200000000.0,0.12
Pang Nakarin,"1,365.0",400000000.0,0.17
Akcent (Romania),"1,362.6",100000000.0,0.22
Rudimental,"1,361.9",300000000.0,0.18
OutKast,"1,361.4",300000000.0,0.38
Gigi D'Agostino,"1,360.5",300000000.0,0.38
Melim,"1,359.1",200000000.0,0.4
Preto no Branco,"1,355.4",200000000.0,0.33
Marwa Loud,"1,353.6",500000000.0,0.47
Ryan Castro,"1,352.7",500000000.0,1.4
Fernando & Sorocaba,"1,342.2",100000000.0,0.14
Flume,"1,338.9",300000000.0,0.23
Bonnie Tyler,"1,336.0",300000000.0,0.47
Natiruts,"1,331.5",300000000.0,0.55
Auli'i Cravalho,"1,329.3",200000000.0,0.62
MC Lan,"1,328.9",200000000.0,0.05
Alejandra Guzmán,"1,328.4",300000000.0,0.23
Ylvis,"1,325.5",100000000.0,0.14
Armaan Malik,"1,322.7",300000000.0,0.35
YFN Lucci,"1,320.2",200000000.0,0.31
Sexion D'Assaut,"1,317.4",200000000.0,0.16
Rvssian,"1,315.2",300000000.0,0.29
Pedro Sampaio,"1,310.9",400000000.0,0.57
Sila,"1,304.6",200000000.0,0.25
Taio Cruz,"1,300.9",500000000.0,0.16
The Lumineers,"1,299.5",400000000.0,0.3
Vitor Fernandes,"1,299.4",300000000.0,0.53
Gülşen,"1,296.5",400000000.0,0.26
Baby Rasta y Gringo,"1,295.6",100000000.0,0.29
Mahahing,"1,294.7",400000000.0,0.13
Gwen Stefani,"1,293.3",400000000.0,0.25
Alexis y Fido,"1,291.7",300000000.0,0.5
Billy Joel,"1,287.1",300000000.0,0.44
Emrah Karaduman,"1,286.5",300000000.0,0.15
Duke Dumont,"1,286.3",200000000.0,0.28
L-Gante,"1,281.3",100000000.0,0.58
John Newman,"1,278.3",100000000.0,0.27
Dennis,"1,277.6",200000000.0,0.15
Phil Collins,"1,277.6",200000000.0,0.37
Jhené Aiko,"1,274.9",200000000.0,0.41
El Bebeto,"1,271.4",200000000.0,0.19
Lenny Kravitz,"1,271.4",300000000.0,0.38
IZA,"1,270.3",500000000.0,0.4
Era Istrefi,"1,269.5",100000000.0,0.54
Nego do Borel,"1,269.0",300000000.0,0.06
Young M.A,"1,267.7",200000000.0,0.17
León Larregui,"1,264.3",400000000.0,0.34
SZA,"1,264.0",400000000.0,4.93
Yelawolf,"1,262.1",200000000.0,0.41
Mike WiLL Made-It,"1,261.9",100000000.0,0.12
Thomas Rhett,"1,261.4",200000000.0,0.17
Tiago PZK,"1,261.2",300000000.0,0.97
Sting,"1,260.2",300000000.0,0.55
The Neighbourhood,"1,255.2",100000000.0,0.55
Jads & Jadson,"1,252.2",100000000.0,0.23
Kim Loaiza,"1,252.1",400000000.0,1.25
Sharry Mann,"1,251.1",300000000.0,0.31
João Gomes,"1,247.2",400000000.0,1.73
Thirty Seconds to Mars,"1,247.2",300000000.0,0.18
Ayo & Teo,"1,247.0",200000000.0,0.09
WINNER,"1,244.0",100000000.0,0.12
NerdOut,"1,243.1",100000000.0,0.21
OG-ANIC,"1,241.3",400000000.0,0.19
Keyshia Cole,"1,241.1",500000000.0,0.32
Reykon,"1,236.0",200000000.0,0.16
Train,"1,233.3",400000000.0,0.2
Bruno e Barretto,"1,229.5",200000000.0,0.26
Carlos Baute,"1,229.3",100000000.0,0.24
Shaan,"1,229.3",200000000.0,0.88
Andrés Cepeda,"1,227.4",300000000.0,0.27
Florence + The Machine,"1,226.4",200000000.0,0.18
Limp Bizkit,"1,222.2",500000000.0,0.38
Severina,"1,222.2",100000000.0,0.21
Leona Lewis,"1,221.1",400000000.0,0.27
Diljit Dosanjh,"1,219.1",300000000.0,0.38
Márcia Fellipe,"1,215.6",200000000.0,0.16
Omarion,"1,215.5",100000000.0,0.16
Bastille,"1,215.3",100000000.0,0.2
Brett Young,"1,215.3",200000000.0,0.38
Simple Plan,"1,213.8",400000000.0,0.24
Robin Thicke,"1,209.3",100000000.0,0.17
Austin Mahone,"1,207.8",200000000.0,0.09
Zé Ramalho,"1,204.7",300000000.0,0.35
Nipsey Hussle,"1,199.5",200000000.0,0.3
Jowell & Randy,"1,198.4",100000000.0,0.28
Liam Payne,"1,192.8",300000000.0,0.13
Amenazzy,"1,191.0",100000000.0,0.53
2Pac,"1,183.2",300000000.0,0.38
Mabel Matiz,"1,182.8",200000000.0,0.43
Bushido,"1,182.7",,0.13
Nick Jonas,"1,182.0",200000000.0,0.13
Dynoro,"1,180.3",100000000.0,0.14
Victor & Leo,"1,178.9",200000000.0,0.37
Mora,"1,177.6",200000000.0,2.48
Shinedown,"1,175.5",100000000.0,0.35
Baby K,"1,175.4",300000000.0,0.16
George Ezra,"1,175.2",400000000.0,0.25
Dire Straits,"1,175.0",500000000.0,0.47
Zak Chumpae,"1,174.7",300000000.0,0.04
Dhurata Dora,"1,174.0",100000000.0,0.23
Vicentico,"1,167.9",300000000.0,0.42
Sohail Sen,"1,167.0",200000000.0,0.31
Basshunter,"1,166.8",200000000.0,0.13
Otilia,"1,164.4",100000000.0,0.12
Mr. Children,"1,164.3",,0.55
Nightwish,"1,159.6",200000000.0,0.36
Jax Jones,"1,156.1",400000000.0,0.13
Benny Blanco,"1,153.8",200000000.0,0.26
Residente,"1,153.1",300000000.0,0.22
Ministério Zoe,"1,150.1",100000000.0,0.32
Sabrina Carpenter,"1,148.8",100000000.0,0.42
Disclosure,"1,145.3",300000000.0,0.17
Tomorrow X Together,"1,145.3",400000000.0,0.42
N Sync,"1,144.5",300000000.0,0.38
Felipe Peláez,"1,141.4",200000000.0,0.23
Miguel Bosé,"1,137.2",200000000.0,0.34
Sade,"1,134.8",300000000.0,0.46
Bonez MC,"1,128.1",300000000.0,0.28
Yellow Claw,"1,127.7",300000000.0,0.17
James Bay,"1,125.5",200000000.0,0.18
Alec Benjamin,"1,125.4",100000000.0,0.58
Lexa,"1,122.5",300000000.0,0.14
Banda Tierra Sagrada,"1,122.1",200000000.0,0.22
Club Dogo,"1,121.9",,0.24
Lady Antebellum,"1,121.7",200000000.0,0.26
Kid Cudi,"1,120.8",300000000.0,0.23
The Vamps,"1,117.1",200000000.0,0.12
August Alsina,"1,116.5",200000000.0,0.18
Momoland,"1,113.2",200000000.0,0.17
Survivor,"1,111.9",200000000.0,0.39
Amit Kumar,"1,111.8",200000000.0,0.24
The Verve,"1,107.1",100000000.0,0.33
Léo Magalhães,"1,101.8",100000000.0,0.34
MIKA,"1,100.9",200000000.0,0.17
Charli XCX,"1,100.9",300000000.0,0.14
Yella Beezy,"1,097.7",200000000.0,0.22
DVBBS,"1,094.1",100000000.0,0.07
Sam Hunt,"1,091.5",300000000.0,0.12
Aitana,"1,085.0",400000000.0,0.63
Ludacris,"1,084.2",100000000.0,0.19
Edward Maya,"1,083.3",200000000.0,0.28
Simge,"1,082.3",400000000.0,0.27
Birdy,"1,079.3",400000000.0,0.2
Labrinth,"1,077.9",300000000.0,0.4
The 1975,"1,077.9",,0.4
Mero,"1,077.6",200000000.0,0.32
Bhad Bhabie,"1,077.3",200000000.0,0.1
Alkilados,"1,077.3",400000000.0,0.18
The Rolling Stones,"1,076.6",,0.28
R. City,"1,076.4",100000000.0,0.14
Ben Fero,"1,073.7",300000000.0,0.23
Bazzi,"1,073.7",400000000.0,0.19
Gloria Groove,"1,072.8",200000000.0,0.53
Weird Al Yankovic,"1,070.8",200000000.0,0.23
Lizzo,"1,069.3",400000000.0,0.36
Keane,"1,068.7",200000000.0,0.55
Dan + Shay,"1,068.3",300000000.0,0.19
Boy Panomprai,"1,068.0",300000000.0,0.18
Anavitória,"1,067.6",300000000.0,0.24
Dillon Francis,"1,066.4",200000000.0,0.12
Bích Phương,"1,062.8",200000000.0,0.45
Hoobastank,"1,059.8",100000000.0,0.31
Wale,"1,058.1",300000000.0,0.22
Gym Class Heroes,"1,056.7",200000000.0,0.4
Sido,"1,056.5",,0.28
Alesso,"1,055.4",200000000.0,0.17
Mumford & Sons,"1,054.6",100000000.0,0.14
Sigala,"1,049.6",300000000.0,0.17
Lauren Daigle,"1,048.1",200000000.0,0.32
Kylie Minogue,"1,047.0",100000000.0,0.41
DJ Hamida,"1,046.4",100000000.0,0.16
Miguel,"1,046.4",400000000.0,0.42
Bigflo & Oli,"1,046.0",100000000.0,0.2
Spice Girls,"1,045.9",100000000.0,0.21
DMX,"1,045.4",300000000.0,0.31
Aleyna Tilki,"1,045.0",300000000.0,0.09
Mike Bahía,"1,042.0",400000000.0,0.46
Bobby Shmurda,"1,041.9",100000000.0,0.16
Aurora,"1,040.4",100000000.0,0.9
Cher Lloyd,"1,036.1",500000000.0,0.04
Blueface,"1,034.5",200000000.0,0.24
Dev Negi,"1,033.9",200000000.0,0.23
Pipe Bueno,"1,032.8",400000000.0,0.4
Siti Badriah,"1,031.4",100000000.0,0.09
Marama,"1,029.5",200000000.0,0.16
Param Singh,"1,029.0",100000000.0,0.25
Tiziano Ferro,"1,028.4",,0.2
Jannine Weigel,"1,028.4",100000000.0,0.06
Oliver Tree,"1,028.0",100000000.0,2.2
Kaaris,"1,027.6",200000000.0,0.1
Eurythmics,"1,027.1",100000000.0,0.48
Rocco Hunt,"1,026.4",300000000.0,0.5
Rich The Kid,"1,023.8",200000000.0,0.11
Glass Animals,"1,023.7",200000000.0,0.79
Bryant Oden,"1,022.9",200000000.0,0.14
Enzo Rabelo,"1,022.5",300000000.0,0.15
John Mayer,"1,019.9",200000000.0,0.25
Lost Frequencies,"1,018.6",300000000.0,0.15
Potato,"1,017.1",100000000.0,0.14
The Strokes,"1,016.5",300000000.0,0.29
ScHoolboy Q,"1,016.4",200000000.0,0.12
Jasmine Sandlas,"1,014.4",200000000.0,0.2
Ghali,"1,014.4",200000000.0,0.13
Darell,"1,014.3",200000000.0,0.37
Min,"1,013.5",500000000.0,0.17
Leslie Grace,"1,008.6",300000000.0,0.13
Alonzo,"1,003.3",200000000.0,0.1
Léo Santana,"1,002.1",100000000.0,0.38
Phan Mạnh Quỳnh,998.9,200000000.0,0.1
Bomba Estéreo,997.6,300000000.0,0.18
The Offspring,995.1,100000000.0,0.5
Ultimo,994.7,,0.33
Humberto e Ronaldo,993.4,100000000.0,0.35
Leandro Borges,993.0,100000000.0,0.44
João Neto e Frederico,991.7,200000000.0,0.06
Vegedream,991.3,100000000.0,0.51
Alex Campos,991.2,100000000.0,0.48
Sasa Kovacevic,985.3,,0.12
Fedez,984.9,200000000.0,0.23
Trúc Nhân,981.4,300000000.0,0.95
IZ*ONE,979.6,200000000.0,0.24
Café Tacvba,977.5,100000000.0,0.23
DNCE,975.7,300000000.0,0.16
Jack Harlow,969.9,200000000.0,0.42
Gen Hoshino,968.0,100000000.0,0.17
Papa Roach,966.3,200000000.0,0.22
Miranda Lambert,962.7,100000000.0,0.22
Olly Murs,962.0,300000000.0,0.13
Juan Luis Guerra,960.0,100000000.0,0.44
Wonder Girls,958.4,200000000.0,0.17
K Camp,957.9,200000000.0,0.2
Dido,957.2,200000000.0,0.42
Led Zeppelin,954.2,300000000.0,0.44
Jay-Z,953.0,100000000.0,0.56
Alex Sensation,952.2,200000000.0,0.18
Henrique & Diego,946.9,200000000.0,0.06
Sonu Nigam,945.7,200000000.0,0.48
Soobin Hoàng Sơn,942.7,100000000.0,0.22
Of Monsters and Men,940.8,100000000.0,0.15
João Bosco e Vinícius,940.2,200000000.0,0.23
Yash Narvekar,938.1,200000000.0,0.27
Creed,934.9,300000000.0,0.28
Vengaboys,934.8,300000000.0,0.34
Pooh Shiesty,933.1,200000000.0,0.43
Tony Kakkar,929.5,200000000.0,0.14
25hours,929.3,100000000.0,0.15
Monsta X,927.8,100000000.0,5.27
Abu,925.7,100000000.0,0.23
Boyz II Men,925.5,400000000.0,0.28
Axel,922.9,200000000.0,0.11
GFriend,922.0,,0.11
Ivete Sangalo,921.2,,0.2
Years & Years,917.5,200000000.0,0.13
Rachel Platten,915.2,200000000.0,0.14
RKM & Ken-Y,913.8,200000000.0,0.17
The Wanted,912.4,200000000.0,0.08
Pikotaro,910.4,300000000.0,0.15
John Lennon,908.0,400000000.0,0.23
Bump of Chicken,907.3,100000000.0,0.25
Savage Garden,902.7,300000000.0,0.32
Brad Paisley,902.7,200000000.0,0.15
MC Doni,902.6,300000000.0,0.15
Apink,902.5,,0.09
Julieta Venegas,902.4,200000000.0,0.39
Rich Gang,902.1,200000000.0,0.21
Tinie Tempah,900.1,200000000.0,0.11
RASA,900.1,200000000.0,0.63
Tame Impala,894.8,300000000.0,0.37
Why Don't We,892.3,100000000.0,0.19
Busta Rhymes,889.3,100000000.0,0.25
Capital Cities,889.2,200000000.0,0.26
Mahmut Orhan,888.9,300000000.0,0.19
Ana Carolina,885.6,200000000.0,0.25
KSI,885.5,100000000.0,0.07
AnnenMayKantereit,883.8,,0.36
Kenny Chesney,883.5,,0.15
Keen'V,883.3,100000000.0,0.22
Juicy J,882.6,100000000.0,0.11
Fat Joe,880.9,200000000.0,0.23
Steve Aoki,880.9,100000000.0,0.06
Seether,877.7,100000000.0,0.25
Fly Project,876.9,100000000.0,0.17
Michael Bolton,873.2,300000000.0,0.29
AOA,873.1,,0.09
Leo Rojas,873.0,200000000.0,0.22
Big Ass,872.5,200000000.0,0.18
Jamiroquai,869.0,100000000.0,0.22
TLC,866.9,300000000.0,0.22
Jess Glynne,862.4,400000000.0,0.15
Kiesza,862.1,200000000.0,0.14
King,860.7,200000000.0,4.93
Jassi Gill,860.7,100000000.0,0.12
Hamza Namira,858.8,200000000.0,0.36
Delia,858.1,,0.11
Tuğçe Kandemir,858.0,300000000.0,0.21
KC Rebell,854.8,,0.07
Ja Rule,852.0,300000000.0,0.28
Culture Club,849.8,200000000.0,0.25
Jay Sean,849.5,200000000.0,0.23
Vasco Rossi,846.2,,0.14
Marco Mengoni,845.9,200000000.0,0.18
Lilly Wood & The Prick,839.1,100000000.0,0.17
Daughtry,837.7,200000000.0,0.26
CKay,836.7,200000000.0,0.79
Mr Probz,835.2,100000000.0,0.18
gnash,834.7,100000000.0,0.2
deadmau5,834.2,,0.09
Vance Joy,833.7,100000000.0,0.19
Altamash Faridi,831.9,100000000.0,0.2
Midian Lima,827.2,200000000.0,0.24
Tinashe,825.6,100000000.0,0.11
Thaeme & Thiago,824.6,,0.05
Big Time Rush,824.4,100000000.0,0.08
NAV,823.8,,0.14
The Prodigy,823.6,100000000.0,0.2
ChocQuibTown,821.9,100000000.0,0.1
Maite Perroni,821.2,300000000.0,0.14
Lil Xan,821.2,200000000.0,0.09
X Ambassadors,820.8,200000000.0,0.19
Sum 41,820.7,200000000.0,0.17
365 DaBand,819.0,100000000.0,0.1
Tony Dize,818.6,200000000.0,0.25
BNK48,817.6,200000000.0,0.09
PnB Rock,817.0,,0.13
O.T. Genasis,816.7,200000000.0,0.08
KYLE,815.0,200000000.0,0.09
Far East Movement,814.9,200000000.0,0.1
J Soul Brothers,813.1,100000000.0,0.05
Hebe Tien,811.7,100000000.0,0.04
The Cure,811.6,100000000.0,0.26
EXID,809.5,100000000.0,0.08
Oras Sattar,807.9,100000000.0,0.12
Faydee,806.3,100000000.0,0.15
Burak Yeter,805.3,100000000.0,0.19
Sekai no Owari,802.9,100000000.0,0.15
Kodaline,800.7,200000000.0,0.24
T-ara,799.1,,0.15
La Quinta Estación,797.9,100000000.0,0.24
Mario,797.1,200000000.0,0.28
Loredana Zefi,795.7,,0.09
Sophia Grace,794.8,100000000.0,0.03
